#;Project;Short_ID;Project Folder Name;Field folder name;Flight Path Name;Location of field plot;Type of flight;Frequency;Drone Model;Flight Height;Flight Speed;Side Overlap;Front Overlap;Camera Angle;Flight Pattern;Flight Path Angle;Ortho GSD;Oblique GSD;Flight Length;Ortho GSD;Oblique GSD;1_flight path;2_1_pix4d path
7;DiversityOats;Diversity;DiversityOats;DiversityOats;25-DiversityOats-MS-30m-85-80.kmz;Vollebekk;MS;Bi-weekly;Mavic 3M;30m;2,00;85;80;Auto;Ortho;258;30;30;00:08:50;1,38;;P:\PheNo\DiversityOats\1_flights\DiversityOats\MS\;P:\PheNo\DiversityOats\2_1_pix4d\DiversityOats\MS\
19;DiversityOats;Diversity;DiversityOats;DiversityOats;25-DiversityOats-Oblique-20m-75-70.kmz;Vollebekk;3D;Bi-weekly;Matrice 4T;20m;6,45;75;70;Auto Oblique;Oblique;258;;;00:11:46;0,71;1,01;P:\PheNo\DiversityOats\1_flights\DiversityOats\3D\;P:\PheNo\DiversityOats\2_1_pix4d\DiversityOats\3D\
10;DLT-Farming;RyeGrass;DLT-Farming;RyeGrass;25-DLTFarming-MS-20m-85-80.kmz;Vollebekk;MS;Weekly;Mavic 3M;20m;1,00;85;80;Auto;Ortho;242;;;00:10:56;0,92;;P:\PheNo\DLT-Farming\1_flights\RyeGrass\MS\;P:\PheNo\DLT-Farming\2_1_pix4d\RyeGrass\MS\
22;DLT-Farming;RyeGrass;DLT-Farming;RyeGrass;25-DLTFarming-Oblique-20m-75-70.kmz;Vollebekk;3D;Weekly;Matrice 4T;20m;6,45;75;70;Auto Oblique;Oblique;242;;;00:06:08;0,71;1,01;P:\PheNo\DLT-Farming\1_flights\RyeGrass\3D\;P:\PheNo\DLT-Farming\2_1_pix4d\RyeGrass\3D\
2;Gene2Bread;Gene2Bread;Gene2Bread;G2BOatFrontiers;25-G2BOatFrontiers-Oblique-20m-75-70.kmz;Vollebekk;3D;Weekly;Matrice 4T;20m;6,45;75;70;Auto Oblique;Oblique;254;;;00:05:27;0,71;1,01;P:\PheNo\Gene2Bread\1_flights\G2BOatFrontiers\3D\;P:\PheNo\Gene2Bread\2_1_pix4d\G2BOatFrontiers\3D\
14;Gene2Bread;Gene2Bread;Gene2Bread;G2BOatFrontiers;25-G2BOatFrontiers-MS-20m-85-80.kmz;Vollebekk;MS;Weekly;Mavic 3M;20m;1,00;85;80;Auto;Ortho;253;;;00:09:05;0,92;;P:\PheNo\Gene2Bread\1_flights\G2BOatFrontiers\MS\;P:\PheNo\Gene2Bread\2_1_pix4d\G2BOatFrontiers\MS\
8;OatFrontiers;Frontiers;DiversityOats;G2BOatFrontiers;25-G2BOatFrontiers-Oblique-20m-75-70.kmz;Vollebekk;3D;Bi-weekly;Matrice 4T;20m;6,45;75;70;Auto Oblique;Oblique;254;;;00:05:27;0,71;1,01;P:\PheNo\DiversityOats\1_flights\G2BOatFrontiers\3D\;P:\PheNo\DiversityOats\2_1_pix4d\G2BOatFrontiers\3D\
20;OatFrontiers;Frontiers;DiversityOats;G2BOatFrontiers;25-G2BOatFrontiers-MS-20m-85-80.kmz;Vollebekk;MS;Bi-weekly;Mavic 3M;20m;1,00;85;80;Auto;Ortho;253;;;00:09:05;0,92;;P:\PheNo\DiversityOats\1_flights\G2BOatFrontiers\MS\;P:\PheNo\DiversityOats\2_1_pix4d\G2BOatFrontiers\MS\
12;Proteinbar - E166;E166;ProteinBar;ProBarE166;25-E166-MS-30m-85-80.kmz;Kjerringjordet;MS;Weekly;Mavic 3M;30m;2,00;85;80;Auto;Ortho;67;;;00:02:39;;;P:\PheNo\ProteinBar\1_flights\ProBarE166\MS\;P:\PheNo\ProteinBar\2_1_pix4d\ProBarE166\MS\
24;Proteinbar - E166;E166;ProteinBar;ProBarE166;25-E166-Oblique-20m-85-80.kmz;Kjerringjordet;3D;Weekly;Mavic 3M;20m;4,25;85;80;Auto Oblique;Oblique;67;;;#VERDI!;;;P:\PheNo\ProteinBar\1_flights\ProBarE166\3D\;P:\PheNo\ProteinBar\2_1_pix4d\ProBarE166\3D\
