#;Foldername;Flight Field ID;Project;Route type (MS, 3D, Thermal, RGB);Drone Model;Drone Pilot;Reflectance Panel (New/Old);Flight Date;Flight Start;Flight End;Wind Speed;Flight Comments;Step 1 P4D Proj.;Done by;Workable Data;P4D Processing;Done by;PC Used;Processing Comments;Flight Height;Side Overlap;Front Overlap;Wind (m/s);Drone type;New folder name;Root Folder;Flight path;Pix4D path
1;DJI_202407181034_001_RaygrassVertical;RyeGrass;DLT-Farming;3D;M3M;;;18-Jul-2024;;;;;;;;;;;;20m;80;85;;M3M;20240718 RyeGrass M3M 20m 3D 80 85;P:\PheNo\DLT-Farming\1_flights\RyeGrass\3D\;P:\PheNo\DLT-Farming\1_flights\RyeGrass\3D\20240718 RyeGrass M3M 20m 3D 80 85;P:\PheNo\DLT-Farming\2_1_pix4d\RyeGrass\3D\20240718 RyeGrass M3M 20m 3D 80 85
2;DJI_202407181052_002_RaygrassMS;RyeGrass;DLT-Farming;MS;M3M;;;18-Jul-2024;;;;;;;;;;;;20m;80;85;;M3M;20240718 RyeGrass M3M 20m MS 80 85;P:\PheNo\DLT-Farming\1_flights\RyeGrass\MS\;P:\PheNo\DLT-Farming\1_flights\RyeGrass\MS\20240718 RyeGrass M3M 20m MS 80 85;P:\PheNo\DLT-Farming\2_1_pix4d\RyeGrass\MS\20240718 RyeGrass M3M 20m MS 80 85
3;DJI_202407231031_001_RaygrassHorizontal;RyeGrass;DLT-Farming;3D;M3M;;;23-Jul-2024;;;;;;;;;;;;20m;80;85;;M3M;20240723 RyeGrass M3M 20m 3D 80 85;P:\PheNo\DLT-Farming\1_flights\RyeGrass\3D\;P:\PheNo\DLT-Farming\1_flights\RyeGrass\3D\20240723 RyeGrass M3M 20m 3D 80 85;P:\PheNo\DLT-Farming\2_1_pix4d\RyeGrass\3D\20240723 RyeGrass M3M 20m 3D 80 85
4;DJI_202407251148_002_RaygrassMS-30m;RyeGrass;DLT-Farming;MS;M3M;;;25-Jul-2024;;;;;;;;;;;;30m;80;85;;M3M;20240725 RyeGrass M3M 30m MS 80 85;P:\PheNo\DLT-Farming\1_flights\RyeGrass\MS\;P:\PheNo\DLT-Farming\1_flights\RyeGrass\MS\20240725 RyeGrass M3M 30m MS 80 85;P:\PheNo\DLT-Farming\2_1_pix4d\RyeGrass\MS\20240725 RyeGrass M3M 30m MS 80 85
5;DJI_202408021326_003_RaygrassHorizontal;RyeGrass;DLT-Farming;3D;M3M;;;2-Aug-2024;;;;;;;;;;;;20m;80;85;;M3M;20240802 RyeGrass M3M 20m 3D 80 85;P:\PheNo\DLT-Farming\1_flights\RyeGrass\3D\;P:\PheNo\DLT-Farming\1_flights\RyeGrass\3D\20240802 RyeGrass M3M 20m 3D 80 85;P:\PheNo\DLT-Farming\2_1_pix4d\RyeGrass\3D\20240802 RyeGrass M3M 20m 3D 80 85
6;DJI_202408051208_002_RaygrassMS-30m;RyeGrass;DLT-Farming;MS;M3M;;;5-Aug-2024;;;;;;;;;;;;30m;80;85;;M3M;20240805 RyeGrass M3M 30m MS 80 85;P:\PheNo\DLT-Farming\1_flights\RyeGrass\MS\;P:\PheNo\DLT-Farming\1_flights\RyeGrass\MS\20240805 RyeGrass M3M 30m MS 80 85;P:\PheNo\DLT-Farming\2_1_pix4d\RyeGrass\MS\20240805 RyeGrass M3M 30m MS 80 85
7;DJI_202408061723_022_RaygrassHorizontal;RyeGrass;DLT-Farming;3D;M3M;;;6-Aug-2024;;;;;;;;;;;;20m;80;85;;M3M;20240806 RyeGrass M3M 20m 3D 80 85;P:\PheNo\DLT-Farming\1_flights\RyeGrass\3D\;P:\PheNo\DLT-Farming\1_flights\RyeGrass\3D\20240806 RyeGrass M3M 20m 3D 80 85;P:\PheNo\DLT-Farming\2_1_pix4d\RyeGrass\3D\20240806 RyeGrass M3M 20m 3D 80 85
8;DJI_202408111306_002_RaygrassMS-30m;RyeGrass;DLT-Farming;MS;M3M;;;11-Aug-2024;;;;;;;;;;;;30m;80;85;;M3M;20240811 RyeGrass M3M 30m MS 80 85;P:\PheNo\DLT-Farming\1_flights\RyeGrass\MS\;P:\PheNo\DLT-Farming\1_flights\RyeGrass\MS\20240811 RyeGrass M3M 30m MS 80 85;P:\PheNo\DLT-Farming\2_1_pix4d\RyeGrass\MS\20240811 RyeGrass M3M 30m MS 80 85
9;DJI_202408121401_001_RaygrassHorizontal;RyeGrass;DLT-Farming;3D;M3M;;;12-Aug-2024;;;;;;;;;;;;20m;80;85;;M3M;20240812 RyeGrass M3M 20m 3D 80 85;P:\PheNo\DLT-Farming\1_flights\RyeGrass\3D\;P:\PheNo\DLT-Farming\1_flights\RyeGrass\3D\20240812 RyeGrass M3M 20m 3D 80 85;P:\PheNo\DLT-Farming\2_1_pix4d\RyeGrass\3D\20240812 RyeGrass M3M 20m 3D 80 85
10;DJI_202408121148_009_RaygrassMS-30m;RyeGrass;DLT-Farming;MS;M3M;;;12-Aug-2024;;;;;;;;;;;;30m;80;85;;M3M;20240812 RyeGrass M3M 30m MS 80 85;P:\PheNo\DLT-Farming\1_flights\RyeGrass\MS\;P:\PheNo\DLT-Farming\1_flights\RyeGrass\MS\20240812 RyeGrass M3M 30m MS 80 85;P:\PheNo\DLT-Farming\2_1_pix4d\RyeGrass\MS\20240812 RyeGrass M3M 30m MS 80 85
